"","id","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","Name","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"1","A1BG",3,0.38344,0.38776,0.851381,9343,1,-0.047189,0.86564,0.8831,0.999927,16504,0,-0.047189,"ENSG00000121410.7",1.69494
"2","A1CF",4,0.054322,0.10513,0.814067,2414,3,-0.3603,0.47092,0.5591,0.999927,10217,1,-0.3603,"ENSG00000148584.10",0.0198112
"3","A2M",4,0.2205,0.28771,0.820598,6549,2,-0.21585,0.35277,0.49386,0.999927,8995,1,-0.21585,"ENSG00000175899.10",0.0063377
"4","A2ML1",4,0.72339,0.67295,0.930787,13814,1,0.068885,0.24179,0.39,0.999927,6926,1,0.068885,"ENSG00000166535.15",0.14498
"5","A3GALT2",4,0.59921,0.5722,0.894736,11883,1,-0.00020936,0.50477,0.57756,0.999927,10632,1,-0.00020936,"ENSG00000184389.8",0
"6","A4GALT",4,0.040018,0.076089,0.743401,1884,2,-0.50096,0.98401,0.98976,0.999927,18800,0,-0.50096,"ENSG00000128274.11",0.0254043
"7","A4GNT",4,0.13027,0.21663,0.820598,4511,2,0.1926,0.015198,0.042755,0.949041,811,2,0.1926,"ENSG00000118017.3",0.0140721
"8","AAAS",4,0.79491,0.74688,0.940545,15185,0,-0.082755,0.19011,0.30808,0.999927,5794,1,-0.082755,"ENSG00000094914.8",36.8155
"9","AACS",4,0.14695,0.22119,0.820598,4862,2,-0.067638,0.021852,0.062753,0.949041,1114,1,-0.067638,"ENSG00000081760.12",2.30954
"10","AADAC",4,0.74332,0.69603,0.932695,14185,0,0.22261,0.21125,0.34437,0.999927,6239,2,0.22261,"ENSG00000114771.9",0.014941
"11","AADACL2",4,0.022069,0.049576,0.728574,1126,3,-0.70403,0.99073,0.99429,0.999927,18923,0,-0.70403,"ENSG00000197953.5",0.0023885
"12","AADACL3",4,0.3495,0.4145,0.865798,9046,1,-0.23687,0.63783,0.65724,0.999927,12402,1,-0.23687,"ENSG00000188984.7",0
"13","AADACL4",4,0.073123,0.14074,0.820598,3162,2,-0.50805,0.33153,0.48123,0.999927,8808,1,-0.50805,"ENSG00000204518.2",0
"14","AADAT",4,0.18825,0.26778,0.820598,5784,2,-0.45088,0.39362,0.51216,0.999927,9407,1,-0.45088,"ENSG00000109576.9",0.0752307
"15","AAED1",4,0.2561,0.32103,0.83311,7319,2,-0.25679,0.94086,0.95335,0.999927,17946,0,-0.25679,"ENSG00000158122.7",4.04586
"16","AAGAB",4,0.018726,0.043368,0.728574,990,1,0.024937,0.30882,0.46707,0.999927,8425,1,0.024937,"ENSG00000103591.8",29.8082
"17","AAK1",4,0.058969,0.11573,0.820598,2598,3,-0.62445,0.95261,0.96657,0.999927,18182,0,-0.62445,"ENSG00000115977.14",1.62975
"18","AAMDC",4,0.45801,0.48033,0.894736,10133,1,-0.12961,0.92287,0.93812,0.999927,17606,0,-0.12961,"ENSG00000087884.10",3.51332
"19","AAMP",4,0.68311,0.62498,0.910168,13123,1,-0.032513,0.42269,0.52633,0.999927,9725,1,-0.032513,"ENSG00000127837.5",37.737
"20","AANAT",4,0.44786,0.47538,0.894736,10018,1,0.4192,0.01116,0.031709,0.906381,633,3,0.4192,"ENSG00000129673.5",0.0113797
"21","AAR2",4,0.76264,0.71377,0.932695,14578,0,0.2474,0.12787,0.23203,0.949041,4374,2,0.2474,"ENSG00000131043.7",9.46448
"22","AARD",4,0.57484,0.55259,0.894736,11571,1,-0.18002,0.93733,0.95133,0.999927,17880,0,-0.18002,"ENSG00000205002.3",0.0241088
"23","AARS",4,0.099797,0.18031,0.820598,3823,1,0.16771,0.06181,0.14694,0.949041,2714,2,0.16771,"ENSG00000090861.11",348.672
"24","AARS2",4,0.41667,0.45886,0.894736,9669,1,-0.061545,0.65289,0.67592,0.999927,12640,1,-0.061545,"ENSG00000124608.4",13.8849
"25","AARSD1",4,0.93458,0.91812,0.981751,17849,0,0.25385,0.25427,0.40032,0.999927,7216,2,0.25385,"ENSG00000266967.2",31.3044
"26","AASDH",4,0.71566,0.66639,0.928842,13679,1,0.14365,0.48316,0.56478,0.999927,10368,1,0.14365,"ENSG00000157426.9",5.94097
"27","AASDHPPT",4,0.44675,0.47538,0.894736,10008,1,-0.0064755,0.23611,0.38042,0.999927,6799,1,-0.0064755,"ENSG00000149313.6",27.4742
"28","AASS",4,0.0045729,0.0097541,0.563324,327,4,-0.34551,0.99543,0.99723,0.999927,19014,0,-0.34551,"ENSG00000008311.10",0.11874
"29","AATF",4,0.96716,0.95728,0.990715,18465,0,0.22088,0.13884,0.23937,0.949041,4628,2,0.22088,"ENSG00000108270.6",39.7309
"30","AATK",4,0.68559,0.62829,0.910168,13174,1,-0.043344,0.89902,0.92124,0.999927,17154,0,-0.043344,"ENSG00000181409.7",0.144537
"31","ABAT",4,0.5145,0.51985,0.894736,10779,1,0.36464,0.23832,0.38525,0.999927,6853,2,0.36464,"ENSG00000183044.7",0.150537
"32","ABCA1",4,0.84632,0.80194,0.943623,16186,0,-0.17666,0.76862,0.78484,0.999927,14670,0,-0.17666,"ENSG00000165029.11",0.0204935
"33","ABCA10",4,0.056983,0.11319,0.820598,2525,1,0.072125,0.012196,0.032528,0.906381,679,1,0.072125,"ENSG00000154263.13",0.0411854
"34","ABCA12",4,0.90416,0.87247,0.96551,17272,0,0.24245,0.13254,0.23504,0.949041,4475,2,0.24245,"ENSG00000144452.10",0.0044112
"35","ABCA13",4,0.10229,0.18161,0.820598,3884,1,0.44192,0.0053818,0.01473,0.748856,356,2,0.44192,"ENSG00000179869.10",0.138656
"36","ABCA2",4,0.21593,0.28562,0.820598,6434,2,-0.38273,0.13537,0.23718,0.949041,4540,1,-0.38273,"ENSG00000107331.12",3.40658
"37","ABCA3",4,0.039243,0.074754,0.743401,1846,2,-0.44277,0.70054,0.71548,0.999927,13419,1,-0.44277,"ENSG00000167972.9",11.2069
"38","ABCA4",4,0.94489,0.93361,0.986234,18061,0,0.34299,0.1698,0.27407,0.965379,5342,2,0.34299,"ENSG00000198691.7",0.0670786
"39","ABCA5",4,0.2513,0.31407,0.83081,7212,1,0.071494,0.71558,0.73118,0.999927,13687,1,0.071494,"ENSG00000154265.11",0.730427
"40","ABCA6",4,0.89528,0.86815,0.96551,17088,0,-0.050744,0.030471,0.082903,0.949041,1477,1,-0.050744,"ENSG00000154262.8",0.127318
"41","ABCA7",4,0.75908,0.71061,0.932695,14509,0,-0.035866,0.63427,0.65586,0.999927,12350,1,-0.035866,"ENSG00000064687.8",11.4089
"42","ABCA8",4,0.94265,0.93097,0.986234,18010,0,0.36985,0.21078,0.34248,0.999927,6229,2,0.36985,"ENSG00000141338.9",8.11699
"43","ABCA9",4,0.5747,0.55259,0.894736,11570,1,0.25364,0.0087892,0.024939,0.857089,531,2,0.25364,"ENSG00000154258.12",0.0621966
"44","ABCB1",4,0.30287,0.37189,0.849601,8341,2,-0.056489,0.16849,0.27407,0.965379,5311,2,-0.056489,"ENSG00000085563.10",0.110611
"45","ABCB10",4,0.062497,0.1194,0.820598,2727,2,-0.23112,0.91736,0.92987,0.999927,17512,0,-0.23112,"ENSG00000135776.4",16.8642
"46","ABCB11",4,0.21944,0.28562,0.820598,6524,1,0.20868,0.032627,0.087405,0.949041,1565,2,0.20868,"ENSG00000073734.8",0.0811118
"47","ABCB4",4,0.7215,0.67129,0.93003,13782,1,0.10878,0.32151,0.47976,0.999927,8706,2,0.10878,"ENSG00000005471.11",0.297073
"48","ABCB5",4,0.77236,0.72315,0.932695,14741,0,0.13413,0.4666,0.55628,0.999927,10175,1,0.13413,"ENSG00000004846.12",0
"49","ABCB6",4,0.4047,0.4506,0.894736,9554,1,0.10317,0.12395,0.22851,0.949041,4290,1,0.10317,"ENSG00000115657.8",7.65884
"50","ABCB7",4,0.62748,0.58041,0.894736,12276,1,0.12802,0.16935,0.27407,0.965379,5331,2,0.12802,"ENSG00000131269.11",17.3501
"51","ABCB8",4,0.55186,0.53633,0.894736,11251,1,0.34499,0.18515,0.29748,0.998902,5679,2,0.34499,"ENSG00000197150.8",11.7704
"52","ABCB9",4,0.96147,0.94888,0.987983,18358,0,0.22926,0.24386,0.39446,0.999927,6970,1,0.22926,"ENSG00000150967.13",1.66862
"53","ABCC1",4,0.38301,0.43589,0.886288,9339,1,0.11269,0.63741,0.65724,0.999927,12394,1,0.11269,"ENSG00000103222.14",17.5235
"54","ABCC10",4,0.10781,0.19129,0.820598,4003,2,-0.40376,0.57832,0.61451,0.999927,11530,1,-0.40376,"ENSG00000124574.10",7.90778
"55","ABCC11",4,0.30987,0.38188,0.850105,8496,2,-0.30451,0.96346,0.97396,0.999927,18389,0,-0.30451,"ENSG00000121270.11",0.0336454
"56","ABCC12",4,0.2843,0.35334,0.838571,7949,1,0.19714,0.19958,0.32166,0.999927,5989,2,0.19714,"ENSG00000140798.11",0.0040715
"57","ABCC2",4,0.77909,0.73222,0.932695,14872,0,0.25618,0.30014,0.45991,0.999927,8227,2,0.25618,"ENSG00000023839.6",0.0386568
"58","ABCC3",4,0.81919,0.77694,0.941928,15685,0,0.35151,0.12285,0.22674,0.949041,4268,2,0.35151,"ENSG00000108846.11",0.146509
"59","ABCC4",4,0.38921,0.44077,0.888847,9397,1,0.0061579,0.83656,0.83762,0.999927,15960,0,0.0061579,"ENSG00000125257.9",11.4234
"60","ABCC5",4,0.1244,0.20883,0.820598,4371,2,-0.18058,0.16677,0.27218,0.965379,5270,2,-0.18058,"ENSG00000114770.12",11.5038
"61","ABCC6",4,0.90378,0.87247,0.96551,17265,0,0.0068631,0.4128,0.5235,0.999927,9608,1,0.0068631,"ENSG00000091262.10",0.0415046
"62","ABCC8",4,0.60194,0.5722,0.894736,11915,1,0.14557,0.80136,0.80916,0.999927,15273,0,0.14557,"ENSG00000006071.7",0.020343
"63","ABCC9",4,0.90737,0.87674,0.96643,17339,0,0.34791,0.14313,0.24295,0.949041,4722,2,0.34791,"ENSG00000069431.6",0.140726
"64","ABCD1",4,0.32166,0.39391,0.857649,8733,1,0.13476,0.65044,0.67592,0.999927,12592,1,0.13476,"ENSG00000101986.8",3.78956
"65","ABCD2",4,0.94062,0.92474,0.983643,17968,0,0.35499,0.016891,0.045635,0.949041,885,2,0.35499,"ENSG00000173208.3",0.0439464
"66","ABCD3",4,0.69629,0.64652,0.925227,13353,1,0.14152,0.14272,0.24295,0.949041,4716,2,0.14152,"ENSG00000117528.7",5.86888
"67","ABCD4",4,0.29275,0.35983,0.844163,8128,1,0.40465,0.117,0.21915,0.949041,4134,2,0.40465,"ENSG00000119688.16",6.14059
"68","ABCE1",4,0.75054,0.7058,0.932695,14329,0,-0.13209,0.96772,0.97624,0.999927,18503,0,-0.13209,"ENSG00000164163.6",44.8152
"69","ABCF1",4,0.93456,0.91812,0.981751,17847,0,0.059228,0.09946,0.20501,0.949041,3724,1,0.059228,"ENSG00000204574.8",44.8427
"70","ABCF2",4,0.48569,0.50496,0.894736,10438,1,0.25268,0.13193,0.23504,0.949041,4462,2,0.25268,"ENSG00000033050.3",33.0028
"71","ABCF3",4,0.45228,0.48033,0.894736,10072,1,0.027983,0.073158,0.16428,0.949041,3117,1,0.027983,"ENSG00000161204.7",17.8213
"72","ABCG1",4,0.67486,0.61508,0.904125,12994,1,-0.19969,0.59124,0.62448,0.999927,11722,1,-0.19969,"ENSG00000160179.14",0.0469844
"73","ABCG2",4,0.69402,0.64488,0.923574,13317,1,-0.039065,0.91051,0.92654,0.999927,17384,0,-0.039065,"ENSG00000118777.6",0.0496924
"74","ABCG4",4,0.65039,0.59533,0.894736,12608,1,0.16281,0.20077,0.32348,0.999927,6015,2,0.16281,"ENSG00000172350.5",0.026414
"75","ABCG5",4,0.26908,0.33423,0.837214,7600,2,0.056978,0.09143,0.19366,0.949041,3538,2,0.056978,"ENSG00000138075.7",0.0044662
"76","ABCG8",4,0.55919,0.54283,0.894736,11356,1,0.11585,0.10838,0.21116,0.949041,3931,2,0.11585,"ENSG00000143921.6",0
"77","ABHD1",4,0.069442,0.13136,0.820598,3011,3,-0.44365,0.96932,0.97746,0.999927,18531,0,-0.44365,"ENSG00000143994.9",0.180722
"78","ABHD10",4,0.88573,0.85917,0.96551,16928,0,-0.0047126,0.84909,0.85648,0.999927,16199,0,-0.0047126,"ENSG00000144827.4",9.89576
"79","ABHD11",4,0.24363,0.3042,0.820598,7046,1,-0.02053,0.78142,0.79479,0.999927,14906,0,-0.02053,"ENSG00000106077.14",8.90948
"80","ABHD12",4,0.7122,0.65973,0.925563,13614,1,0.16473,0.00054616,0.0015505,0.748856,35,2,0.16473,"ENSG00000100997.14",6.87058
"81","ABHD12B",4,0.84851,0.80315,0.943623,16226,0,0.11613,0.77838,0.79479,0.999927,14855,0,0.11613,"ENSG00000131969.10",0.0467327
"82","ABHD13",4,0.2414,0.30321,0.820598,6989,2,-0.2247,0.89818,0.92005,0.999927,17143,0,-0.2247,"ENSG00000139826.5",2.61293
"83","ABHD14A",4,0.12416,0.20883,0.820598,4364,2,-0.18605,0.84226,0.84475,0.999927,16080,0,-0.18605,"ENSG00000248487.4",3.66198
"84","ABHD14B",4,0.94148,0.92594,0.983785,17990,0,0.23598,0.15192,0.24869,0.949041,4932,2,0.23598,"ENSG00000114779.15",31.5953
"85","ABHD15",4,0.53133,0.52638,0.894736,11001,1,0.076172,0.75379,0.76097,0.999927,14380,0,0.076172,"ENSG00000168792.4",2.97988
"86","ABHD16A",4,0.41064,0.45553,0.894736,9608,1,0.59288,0.0050019,0.013894,0.748856,325,3,0.59288,"ENSG00000204427.7",37.315
"87","ABHD16B",4,0.24024,0.30131,0.820598,6960,2,-0.31417,0.65197,0.67592,0.999927,12622,1,-0.31417,"ENSG00000183260.5",4.49757
"88","ABHD17A",4,0.37234,0.42595,0.875496,9244,1,-0.013933,0.29996,0.45991,0.999927,8223,2,-0.013933,"ENSG00000129968.11",10.711
"89","ABHD17B",4,0.8131,0.76899,0.941928,15574,0,0.25662,0.022275,0.063473,0.949041,1129,2,0.25662,"ENSG00000107362.9",4.45821
"90","ABHD17C",4,0.88665,0.85917,0.96551,16941,0,0.32942,0.022005,0.06324,0.949041,1117,2,0.32942,"ENSG00000136379.7",0.194682
"91","ABHD2",4,0.17151,0.24932,0.820598,5404,2,-0.27883,0.47731,0.5591,0.999927,10307,1,-0.27883,"ENSG00000140526.12",11.5815
"92","ABHD3",4,0.084945,0.16328,0.820598,3472,2,-0.1877,0.49375,0.57051,0.999927,10509,1,-0.1877,"ENSG00000158201.5",17.1244
"93","ABHD4",4,0.35483,0.41616,0.865798,9091,1,-0.072634,0.30514,0.46252,0.999927,8345,1,-0.072634,"ENSG00000100439.6",13.5751
"94","ABHD5",4,0.18229,0.26335,0.820598,5655,1,0.22467,0.037719,0.096354,0.949041,1771,2,0.22467,"ENSG00000011198.3",11.8871
"95","ABHD6",4,0.27922,0.34486,0.838571,7839,2,-0.1068,0.4597,0.55628,0.999927,10099,1,-0.1068,"ENSG00000163686.9",1.71806
"96","ABHD8",4,0.80975,0.76492,0.941928,15503,0,0.171,0.12276,0.22674,0.949041,4266,2,0.171,"ENSG00000127220.5",6.21682
"97","ABI1",4,0.1935,0.27301,0.820598,5918,1,-0.038759,0.87175,0.8898,0.999927,16622,0,-0.038759,"ENSG00000136754.12",14.821
"98","ABI2",4,0.18016,0.26248,0.820598,5605,1,-0.34075,0.94273,0.95456,0.999927,17988,0,-0.34075,"ENSG00000138443.11",4.19498
"99","ABI3",4,0.53551,0.52804,0.894736,11048,1,0.18915,0.63078,0.65441,0.999927,12294,1,0.18915,"ENSG00000108798.4",0.003573
"100","ABI3BP",4,0.33863,0.40642,0.864543,8947,1,-0.13262,0.29755,0.4577,0.999927,8158,1,-0.13262,"ENSG00000154175.12",0.0233719
"101","ABL1",4,0.44961,0.477,0.894736,10040,1,0.30095,0.10724,0.21116,0.949041,3905,2,0.30095,"ENSG00000097007.13",50.3952
"102","ABL2",4,0.14181,0.22041,0.820598,4762,2,-0.14479,0.6809,0.69855,0.999927,13070,1,-0.14479,"ENSG00000143322.15",4.36803
"103","ABLIM1",4,0.74162,0.69272,0.932695,14144,1,0.28796,0.16103,0.26457,0.965379,5133,2,0.28796,"ENSG00000099204.14",0.0704236
"104","ABLIM2",4,0.53224,0.52638,0.894736,11009,1,0.40337,0.086648,0.18456,0.949041,3428,2,0.40337,"ENSG00000163995.14",0.0145344
"105","ABLIM3",4,0.21676,0.28562,0.820598,6454,2,-0.006689,0.1008,0.20729,0.949041,3757,2,-0.006689,"ENSG00000173210.15",0.920885
"106","ABO",4,0.88521,0.85917,0.96551,16918,0,0.12041,0.24622,0.39446,0.999927,7010,1,0.12041,"ENSG00000175164.9",11.9037
"107","ABR",4,0.0027725,0.0056347,0.543186,194,4,-0.92849,0.99723,0.99855,0.999927,19059,0,-0.92849,"ENSG00000159842.10",0.433221
"108","ABRA",4,0.67466,0.61508,0.904125,12989,1,0.18643,0.097631,0.19908,0.949041,3687,2,0.18643,"ENSG00000174429.3",0.0180919
"109","ABRACL",4,0.0035054,0.0070716,0.553989,244,3,-0.75064,0.53986,0.59055,0.999927,11071,1,-0.75064,"ENSG00000146386.7",1.23224
"110","ABT1",4,0.21698,0.28562,0.820598,6458,1,0.55492,0.029108,0.076118,0.949041,1421,3,0.55492,"ENSG00000146109.3",20.5341
"111","ABTB1",2,0.36651,0.33689,0.838571,9194,1,0.24435,0.04771,0.083453,0.949041,2157,1,0.24435,"ENSG00000114626.13",1.77849
"112","ABTB2",4,0.93488,0.91812,0.981751,17851,0,0.159,0.23108,0.37209,0.999927,6682,2,0.159,"ENSG00000166016.4",0.265603
"113","ACAA1",4,0.78198,0.73222,0.932695,14918,0,-0.081859,0.16302,0.2673,0.965379,5183,1,-0.081859,"ENSG00000060971.13",12.8282
"114","ACAA2",4,0.21498,0.28474,0.820598,6419,1,0.26653,0.077426,0.16639,0.949041,3212,2,0.26653,"ENSG00000167315.13",33.249
"115","ACACA",4,0.0037147,0.0079687,0.563324,256,2,-0.26375,0.65748,0.68018,0.999927,12707,1,-0.26375,"ENSG00000132142.15",16.2141
"116","ACACB",4,0.2739,0.34154,0.838571,7709,1,0.49309,0.014874,0.042125,0.949041,796,2,0.49309,"ENSG00000076555.11",2.22886
"117","ACAD10",4,0.27666,0.34486,0.838571,7777,1,-0.0011896,0.6775,0.69712,0.999927,13011,1,-0.0011896,"ENSG00000111271.10",6.96902
"118","ACAD11",4,0.23014,0.29537,0.820598,6747,1,-0.079653,0.79731,0.80564,0.999927,15201,0,-0.079653,"ENSG00000240303.3",0
"119","ACAD8",4,0.60577,0.57385,0.894736,11970,1,0.3199,0.052677,0.12761,0.949041,2364,3,0.3199,"ENSG00000151498.7",8.59632
"120","ACAD9",4,0.65582,0.59706,0.894736,12697,1,0.31948,0.055611,0.13167,0.949041,2476,3,0.31948,"ENSG00000177646.13",7.41325
"121","ACADL",3,0.53864,0.48094,0.894736,11089,1,0.13441,0.53602,0.55237,0.999927,11018,1,0.13441,"ENSG00000115361.3",0.0098001
"122","ACADM",4,0.8029,0.75812,0.940999,15362,0,-0.050581,0.46413,0.55628,0.999927,10149,1,-0.050581,"ENSG00000117054.9",44.8817
"123","ACADS",4,0.2756,0.34375,0.838571,7755,2,-0.18628,0.69099,0.70276,0.999927,13255,1,-0.18628,"ENSG00000122971.4",14.953
"124","ACADSB",4,0.66712,0.60368,0.896067,12877,1,0.19259,0.7065,0.72267,0.999927,13529,1,0.19259,"ENSG00000196177.8",2.22604
"125","ACADVL",4,0.69251,0.63992,0.919566,13293,1,-0.0068285,0.84471,0.84976,0.999927,16121,0,-0.0068285,"ENSG00000072778.15",78.0852
"126","ACAN",4,0.17376,0.25324,0.820598,5457,1,-0.089311,0.088056,0.18758,0.949041,3466,1,-0.089311,"ENSG00000157766.11",0.0061655
"127","ACAP1",4,0.82231,0.78076,0.941928,15750,0,-0.054065,0.79285,0.79851,0.999927,15117,0,-0.054065,"ENSG00000072818.7",1.81384
"128","ACAP2",4,0.26943,0.33423,0.837214,7605,1,-0.1414,0.48738,0.56624,0.999927,10429,1,-0.1414,"ENSG00000114331.8",20.0518
"129","ACAP3",4,0.11288,0.19657,0.820598,4111,2,-0.18902,0.50784,0.58187,0.999927,10668,1,-0.18902,"ENSG00000131584.14",9.13408
"130","ACAT1",4,0.12607,0.21127,0.820598,4410,2,-0.40618,0.46336,0.55628,0.999927,10136,1,-0.40618,"ENSG00000075239.9",21.5321
"131","ACAT2",4,0.27029,0.33529,0.837887,7626,2,-0.25763,0.79778,0.80564,0.999927,15207,0,-0.25763,"ENSG00000120437.7",68.7306
"132","ACBD3",4,0.21129,0.28068,0.820598,6326,1,-0.0041266,0.81512,0.81943,0.999927,15519,0,-0.0041266,"ENSG00000182827.8",31.4624
"133","ACBD4",4,0.93619,0.91812,0.981751,17877,0,0.26931,0.17315,0.27499,0.965379,5418,2,0.26931,"ENSG00000181513.10",3.94937
"134","ACBD5",4,0.9212,0.89577,0.972573,17590,0,0.22086,0.27653,0.43461,0.999927,7692,2,0.22086,"ENSG00000107897.14",5.07928
"135","ACBD6",4,0.31343,0.38365,0.850105,8564,2,-0.17496,0.19907,0.32166,0.999927,5981,1,-0.17496,"ENSG00000135847.5",26.7025
"136","ACBD7",4,0.41517,0.45886,0.894736,9652,1,0.091071,0.60637,0.63599,0.999927,11942,1,0.091071,"ENSG00000176244.6",0.635627
"137","ACCS",4,0.35928,0.41616,0.865798,9131,1,-0.074564,0.81149,0.8149,0.999927,15454,0,-0.074564,"ENSG00000110455.9",13.8179
"138","ACCSL",4,0.87039,0.83642,0.960545,16645,0,0.023813,0.67428,0.6943,0.999927,12965,1,0.023813,"ENSG00000205126.2",0
"139","ACD",4,0.71746,0.6664,0.928842,13714,1,-0.085077,0.30415,0.461,0.999927,8324,1,-0.085077,"ENSG00000102977.9",12.6471
"140","ACE",4,0.047388,0.091479,0.799779,2160,2,-0.27043,0.41766,0.52633,0.999927,9657,1,-0.27043,"ENSG00000159640.10",0.481818
"141","ACE2",4,0.66147,0.59872,0.894736,12792,1,-0.15667,0.64272,0.66441,0.999927,12480,1,-0.15667,"ENSG00000130234.6",0.0275073
"142","ACER1",4,0.96365,0.95146,0.988807,18396,0,0.17596,0.18009,0.2907,0.997118,5572,1,0.17596,"ENSG00000167769.4",0
"143","ACER2",4,0.72121,0.67129,0.93003,13778,1,0.27428,0.2593,0.40566,0.999927,7333,2,0.27428,"ENSG00000177076.4",1.39419
"144","ACER3",4,0.00039014,0.00094452,0.471308,25,1,-0.22768,0.67841,0.69712,0.999927,13026,1,-0.22768,"ENSG00000078124.7",5.00985
"145","ACHE",4,0.2801,0.34703,0.838571,7860,1,-0.091357,0.16365,0.26824,0.965379,5197,1,-0.091357,"ENSG00000087085.9",0.632506
"146","ACIN1",4,0.75004,0.7058,0.932695,14319,0,0.19724,0.18662,0.29844,0.998902,5709,1,0.19724,"ENSG00000100813.10",35.6318
"147","ACKR2",4,0.025342,0.055913,0.728574,1274,2,-0.28228,0.24719,0.39552,0.999927,7038,2,-0.28228,"ENSG00000144648.10",0.0895655
"148","ACKR3",4,0.65776,0.59872,0.894736,12724,1,0.39353,0.063778,0.1497,0.949041,2790,3,0.39353,"ENSG00000144476.5",0.011037
"149","ACKR4",4,0.47507,0.49516,0.894736,10325,1,-0.15668,0.95773,0.97094,0.999927,18277,0,-0.15668,"ENSG00000129048.6",0.355859
"150","ACLY",4,0.21207,0.28174,0.820598,6346,1,-0.21171,0.66597,0.69005,0.999927,12842,1,-0.21171,"ENSG00000131473.12",79.0853
"151","ACMSD",4,0.16535,0.24459,0.820598,5268,2,-0.45334,0.82585,0.82921,0.999927,15738,0,-0.45334,"ENSG00000153086.9",0.0062273
"152","ACO1",4,0.79063,0.73664,0.932695,15091,0,0.12433,0.31104,0.47076,0.999927,8476,2,0.12433,"ENSG00000122729.14",7.8033
"153","ACO2",3,0.18007,0.24203,0.820598,5602,2,-0.23975,0.94147,0.95796,0.999927,17962,0,-0.23975,"ENSG00000100412.11",41.1795
"154","ACOT1",4,0.85569,0.81135,0.945438,16370,0,-0.024405,0.78823,0.7973,0.999927,15027,0,-0.024405,"ENSG00000184227.3",0.0436455
"155","ACOT11",4,0.21075,0.27962,0.820598,6316,2,-0.33441,0.29803,0.4577,0.999927,8172,1,-0.33441,"ENSG00000162390.13",0.0949869
"156","ACOT12",4,0.27469,0.34264,0.838571,7728,2,-0.062997,0.68514,0.70135,0.999927,13157,1,-0.062997,"ENSG00000172497.4",0
"157","ACOT13",4,0.80155,0.75812,0.940999,15335,0,-0.079653,0.6271,0.65441,0.999927,12249,1,-0.079653,"ENSG00000112304.6",14.1787
"158","ACOT2",4,0.14788,0.22279,0.820598,4882,2,-0.21998,0.46375,0.55628,0.999927,10142,1,-0.21998,"ENSG00000119673.10",0.107841
"159","ACOT4",4,0.017392,0.042603,0.728574,931,2,-0.46165,0.072666,0.16428,0.949041,3100,1,-0.46165,"ENSG00000177465.4",0.0140681
"160","ACOT6",4,0.84306,0.79832,0.943623,16135,0,0.30087,0.074681,0.16639,0.949041,3142,2,0.30087,"ENSG00000205669.2",0
"161","ACOT7",4,0.81397,0.7703,0.941928,15587,0,0.4363,0.068486,0.15867,0.949041,2959,2,0.4363,"ENSG00000097021.15",13.5724
"162","ACOT8",4,0.18086,0.26335,0.820598,5620,2,-0.3637,0.58503,0.61733,0.999927,11631,1,-0.3637,"ENSG00000101473.12",13.4427
"163","ACOT9",4,0.57062,0.55092,0.894736,11514,1,-0.068861,0.82451,0.82706,0.999927,15709,0,-0.068861,"ENSG00000123130.12",10.3529
"164","ACOX1",4,0.74943,0.70421,0.932695,14305,0,0.0598,0.21716,0.35267,0.999927,6378,2,0.0598,"ENSG00000161533.7",6.03225
"165","ACOX2",4,0.2363,0.30131,0.820598,6884,2,-0.040191,0.1219,0.22674,0.949041,4249,2,-0.040191,"ENSG00000168306.8",0
"166","ACOX3",4,0.55716,0.54283,0.894736,11333,1,-0.1316,0.64841,0.67157,0.999927,12558,1,-0.1316,"ENSG00000087008.11",3.83572
"167","ACOXL",4,0.58417,0.55907,0.894736,11677,1,0.75209,0.0040197,0.011589,0.748856,258,3,0.75209,"ENSG00000153093.14",0.043938
"168","ACP1",4,0.0063053,0.013634,0.595085,434,4,-0.47268,0.99369,0.99612,0.999927,18985,0,-0.47268,"ENSG00000143727.11",59.9566
"169","ACP2",4,0.073862,0.1434,0.820598,3187,3,-0.47825,0.27497,0.43192,0.999927,7656,1,-0.47825,"ENSG00000134575.5",5.43795
"170","ACP5",4,0.22488,0.29164,0.820598,6641,2,-0.2237,0.37075,0.50083,0.999927,9164,1,-0.2237,"ENSG00000102575.6",0.645967
"171","ACP6",4,0.13886,0.2189,0.820598,4704,1,0.17328,0.64886,0.67301,0.999927,12565,1,0.17328,"ENSG00000162836.7",0.234733
"172","ACPP",4,0.77681,0.72925,0.932695,14817,0,-0.041719,0.68754,0.70135,0.999927,13192,1,-0.041719,"ENSG00000014257.11",0.115651
"173","ACPT",4,0.74517,0.70103,0.932695,14219,0,0.068899,0.23185,0.37209,0.999927,6696,2,0.068899,"ENSG00000142513.4",0.0308359
"174","ACR",4,0.3516,0.41616,0.865798,9066,1,-0.084194,0.68445,0.70135,0.999927,13140,1,-0.084194,"ENSG00000100312.6",0.0215772
"175","ACRBP",4,0.0042334,0.0092657,0.563324,299,2,-0.3541,0.60565,0.63599,0.999927,11929,1,-0.3541,"ENSG00000111644.3",1.15251
"176","ACRC",4,0.10328,0.18794,0.820598,3904,1,-0.071701,0.73023,0.74408,0.999927,13935,1,-0.071701,"ENSG00000147174.7",1.43156
