"","id","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","Name","K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
"7513","IL17RB",4,0.018297,0.042962,0.728574,976,3,-0.48038,0.51643,0.58476,0.999927,10782,1,-0.48038,"ENSG00000056736.5",1.49104
"7514","IL17RC",4,0.85416,0.80907,0.945438,16342,0,0.1221,0.21901,0.35365,0.999927,6428,1,0.1221,"ENSG00000163702.14",6.99233
"7515","IL17RD",4,0.70974,0.65973,0.925563,13574,1,0.30432,0.0664,0.15467,0.949041,2875,3,0.30432,"ENSG00000144730.12",0.0281213
"7516","IL17RE",4,0.14866,0.22279,0.820598,4898,2,-0.3867,0.46058,0.55628,0.999927,10107,1,-0.3867,"ENSG00000163701.14",0.210237
"7517","IL17REL",4,0.1235,0.20883,0.820598,4345,2,-0.19226,0.39025,0.51075,0.999927,9366,1,-0.19226,"ENSG00000188263.6",0.0629334
"7518","IL18",4,0.69065,0.63488,0.914589,13266,1,0.074309,0.57081,0.61027,0.999927,11446,1,0.074309,"ENSG00000150782.7",9.36898
"7519","IL18BP",4,0.050349,0.095418,0.802427,2266,3,-0.62686,0.32508,0.47976,0.999927,8752,1,-0.62686,"ENSG00000137496.13",5.08042
"7520","IL18R1",4,0.82716,0.78334,0.941928,15836,0,0.11709,0.18611,0.29844,0.998902,5701,2,0.11709,"ENSG00000115604.6",1.90689
"7521","IL18RAP",4,0.61704,0.57878,0.894736,12120,1,-0.30735,0.71194,0.72976,0.999927,13627,1,-0.30735,"ENSG00000115607.5",1.75116
"7522","IL19",4,0.060786,0.11682,0.820598,2664,3,-0.44278,0.4695,0.55628,0.999927,10200,1,-0.44278,"ENSG00000142224.11",0.0042233
"7523","IL1A",4,0.67463,0.61508,0.904125,12988,1,0.080715,0.69649,0.70839,0.999927,13352,1,0.080715,"ENSG00000115008.5",1.58009
"7524","IL1B",4,0.54006,0.52968,0.894736,11105,1,0.2104,0.034176,0.089326,0.949041,1626,2,0.2104,"ENSG00000125538.7",0.155473
"7525","IL1F10",3,0.28124,0.30765,0.826985,7886,1,-0.16751,0.35803,0.43369,0.999927,9046,1,-0.16751,"ENSG00000136697.8",0
"7526","IL1R1",4,0.48225,0.50003,0.894736,10399,1,0.21404,0.22136,0.35664,0.999927,6472,2,0.21404,"ENSG00000115594.7",4.74681
"7527","IL1R2",4,0.7149,0.66639,0.928842,13664,1,-0.02759,0.29092,0.45206,0.999927,8008,1,-0.02759,"ENSG00000115590.9",0.0506316
"7528","IL1RAP",4,0.20794,0.27872,0.820598,6265,2,-0.27505,0.95875,0.97179,0.999927,18294,0,-0.27505,"ENSG00000196083.5",0.318834
"7529","IL1RAPL1",4,0.24166,0.30321,0.820598,6997,2,-0.27307,0.71606,0.73118,0.999927,13697,1,-0.27307,"ENSG00000169306.5",0.011327
"7530","IL1RAPL2",4,0.89942,0.87161,0.96551,17179,0,0.064983,0.69267,0.70276,0.999927,13285,1,0.064983,"ENSG00000189108.8",0.0026406
"7531","IL1RL1",4,0.23236,0.29742,0.820598,6797,1,-0.048664,0.5095,0.58331,0.999927,10690,1,-0.048664,"ENSG00000115602.12",0.187357
"7532","IL1RL2",4,0.97823,0.97526,0.997757,18679,0,0.21665,0.2878,0.44762,0.999927,7944,2,0.21665,"ENSG00000115598.5",0
"7533","IL1RN",3,0.24358,0.28261,0.820598,7042,1,0.11656,0.5038,0.52532,0.999927,10623,1,0.11656,"ENSG00000136689.14",0.0089038
"7534","IL2",4,0.54623,0.53389,0.894736,11182,1,-0.20981,0.48488,0.56624,0.999927,10391,1,-0.20981,"ENSG00000109471.4",0.0726578
"7535","IL20",4,0.054605,0.10513,0.814067,2424,3,-0.30396,0.96414,0.97447,0.999927,18404,0,-0.30396,"ENSG00000162891.6",0
"7536","IL20RA",4,0.5104,0.51319,0.894736,10738,1,0.0092872,0.71525,0.73118,0.999927,13685,1,0.0092872,"ENSG00000016402.8",0.0106662
"7537","IL20RB",4,0.11804,0.20183,0.820598,4223,2,-0.27267,0.81018,0.81373,0.999927,15428,0,-0.27267,"ENSG00000174564.8",32.6785
"7538","IL21",4,0.017973,0.042779,0.728574,961,3,-0.75461,0.99233,0.99504,0.999927,18958,0,-0.75461,"ENSG00000138684.3",0
"7539","IL21R",4,0.94718,0.93518,0.986234,18098,0,0.34321,0.046977,0.1115,0.949041,2126,3,0.34321,"ENSG00000103522.11",8.09436
"7540","IL22",4,0.84352,0.80071,0.943623,16142,0,0.47454,0.029054,0.076118,0.949041,1419,2,0.47454,"ENSG00000127318.6",0
"7541","IL22RA1",4,0.069529,0.13136,0.820598,3017,3,-0.63386,0.47587,0.5591,0.999927,10286,1,-0.63386,"ENSG00000142677.3",0.0089069
"7542","IL22RA2",4,0.030341,0.063026,0.728574,1474,2,-0.34217,0.90192,0.9236,0.999927,17214,0,-0.34217,"ENSG00000164485.10",0.0028784
"7543","IL23A",4,0.21526,0.28474,0.820598,6424,1,0.17273,0.70451,0.72267,0.999927,13494,1,0.17273,"ENSG00000110944.4",45.3824
"7544","IL23R",4,0.03042,0.063027,0.728574,1476,1,-0.21616,0.69846,0.71125,0.999927,13386,1,-0.21616,"ENSG00000162594.10",9.94368
"7545","IL24",4,0.016786,0.039327,0.728574,908,3,-0.79093,0.94466,0.95733,0.999927,18022,0,-0.79093,"ENSG00000162892.11",0.0251861
"7546","IL25",4,0.056333,0.10677,0.814067,2505,3,-0.45664,0.56949,0.61027,0.999927,11425,1,-0.45664,"ENSG00000166090.8",0.006077
"7547","IL26",4,0.33498,0.40316,0.861918,8907,1,0.14506,0.096165,0.19605,0.949041,3648,2,0.14506,"ENSG00000111536.4",0
