"","x"
"BBS12",2
"BCAS4",2
"BCL2L15",2
"BCL9",2
"BCS1L",2
"BECN1",2
"BEGAIN",2
"BEND5",2
"BEST4",2
"BFAR",2
"BHLHE23",2
"BIK",2
"BIN2",2
"BIRC2",2
"BLOC1S4",2
"BMF",2
"BMP15",2
"BMS1",2
"BPGM",2
"BRD3",2
"BRD4",2
"BRD7",2
"BSCL2",2
"BSX",2
"BTBD16",2
"BTNL8",2
"C10orf99",2
"C11orf58",2
"C12orf49",2
"C12orf65",2
"C14orf177",2
"C15orf41",2
"C15orf43",2
"C15orf54",2
"C16orf62",2
"C16orf95",2
"C17orf75",2
"C17orf80",2
"C17orf97",2
"C18orf32",2
"C18orf65",2
"C1orf105",2
"C1orf159",2
"C1orf177",2
"C1orf195",2
"C1orf216",2
"C1orf226",2
"C1orf233",2
"C1QTNF4",2
"C20orf144",2
"C21orf2",2
"C21orf58",2
"C22orf29",2
"C2CD3",2
"C2orf27A",2
"C2orf72",2
"C3orf14",2
"C5orf49",2
"C6orf229",2
"C6orf52",2
"C7orf61",2
"C8orf44-SGK3",2
"C8orf76",2
"C9orf172",2
"C9orf41",2
"CA1",2
"CA12",2
"CA5A",2
"CA6",2
"CAB39",2
"CACNB2",2
"CACTIN",2
"CACUL1",2
"CALD1",2
"CALML5",2
"CAMK2A",2
"CAMKMT",2
"CAND1",2
"CAND2",2
"CAPG",2
"CAPN2",2
"CAPN9",2
"CARD14",2
"CASC4",2
"CATSPER1",2
"CAV2",2
"CBWD1",2
"CC2D2B",2
"CCAR2",2
"CCDC109B",2
"CCDC127",2
"CCDC13",2
"CCDC155",2
"CCDC23",2
"CCDC24",2
"CCDC42B",2
"CCDC54",2
"CCDC66",2
"CCER2",2
"CCHCR1",2
"CCL1",2
"CCL16",2
"CCL19",2
"CCL24",2
"CCL3",2
"CCM2L",2
"CCNO",2
"CCR5",2
"CCT7",2
"CCT8L2",2
"CD2",2
"CD247",2
"CD320",2
"CD5L",2
"CD82",2
"CD99L2",2
"CDC20",2
"CDC42BPG",2
"CDC42SE1",2
"CDCP1",2
"CDH1",2
"CDHR4",2
"CDIP1",2
"CDK1",2
"CDK20",2
"CDKN1B",2
"CDKN2AIPNL",2
"CDRT1",2
"CDY2A",2
"CEACAM20",2
"CEBPA",2
"CELF2",2
"CELF4",2
"CENPE",2
"CENPF",2
"CEP162",2
"CEP250",2
"CETN3",2
"CFAP46",2
"CFAP52",2
"CFAP53",2
"CFAP70",2
"CFAP97",2
"CFLAR",2
"CFP",2
"CGB5",2
"CGGBP1",2
"CHAC2",2
"CHAF1A",2
"CHEK1",2
"CHFR",2
"CHID1",2
"CHKB",2
"CHMP2B",2
"CHMP7",2
"CHRAC1",2
"CHRNA4",2
"CHST11",2
"CHST7",2
"CHTF8",2
"CHURC1-FNTB",2
"CIB4",2
"CIDEA",2
"CIR1",2
"CIRBP",2
"CIRH1A",2
"CISD2",2
"CLASP2",2
"CLDN10",2
"CLDN25",2
"CLDN3",2
"CLEC1A",2
"CLN3",2
"CLOCK",2
"CLTB",2
"CMTM6",2
"CMTR2",2
"CNBP",2
"CNEP1R1",2
"CNIH4",2
"CNOT6",2
"CNP",2
"CNPY2",2
"CNTN1",2
"CNTNAP1",2
"COA6",2
"COL11A2",2
"COL24A1",2
"COL28A1",2
"COL4A2",2
"COL4A4",2
"COL5A1",2
"COL7A1",2
"COLCA2",2
"COMMD1",2
"COMT",2
"COPRS",2
"COPS4",2
"COPS7A",2
"COPZ1",2
"COQ2",2
"COQ7",2
"CORIN",2
"CORO7-PAM16",2
"COX18",2
"COX6A1",2
"CPA3",2
"CPNE2",2
"CPNE3",2
"CPOX",2
"CPPED1",2
"CPT1B",2
"CRAMP1L",2
"CRB1",2
"CREB3L1",2
"CREBBP",2
"CREG2",2
"CRHR1",2
"CRISP3",2
"CRYBB3",2
"CRYGA",2
"CRYGB",2
"CRYL1",2
"CSMD1",2
"CSTL1",2
"CT45A7",2
"CT47A9",2
"CTBP1",2
"CTCF",2
"CTDSP2",2
"CTNNAL1",2
"CTRB2",2
"CTSB",2
"CTSE",2
"CTTNBP2",2
"CTXN1",2
"CWH43",2
"CXCL3",2
"CXorf40B",2
"CYB5R4",2
"CYFIP2",2
"CYP11A1",2
"CYP21A2",2
"CYP2C19",2
"CYP2C8",2
"CYP2R1",2
"CYP2U1",2
"CYP4Z1",2
"CYTH4",2
"CYTIP",2
"DACT1",2
"DAGLA",2
"DAGLB",2
"DAO",2
"DAPK2",2
"DAZ1",2
"DAZ4",2
"DBN1",2
"DBNDD1",2
"DBR1",2
"DCAF8L1",2
"DCDC2C",2
"DCN",2
"DCTN6",2
"DCUN1D3",2
"DCUN1D5",2
"DDHD2",2
"DDX55",2
"DEDD2",2
"DEFB116",2
"DEGS2",2
"DENND1A",2
"DENND2C",2
"DEPDC5",2
"DERL2",2
"DHFR",2
"DHH",2
"DHRS1",2
"DHX16",2
"DHX37",2
"DHX57",2
"DHX8",2
"DIMT1",2
"DISC1",2
"DMRT1",2
"DMRTB1",2
"DMRTC1B",2
"DMRTC2",2
"DNAAF2",2
"DNAH6",2
"DNAJA3",2
"DNAJB9",2
"DNAJC5G",2
"DNAJC6",2
"DNASE1",2
"DNASE1L2",2
"DNMBP",2
"DNTTIP1",2
"DOCK10",2
"DOK1",2
"DOK4",2
"DPEP3",2
"DPM1",2
"DPYSL4",2
"DRAP1",2
"DRD1",2
"DUS3L",2
"DUSP14",2
"DUSP18",2
"DUSP23",2
"DYDC1",2
"E2F2",2
"EBAG9",2
"EBP",2
"EDA",2
"EEF2KMT",2
"EFCAB7",2
"EFHC1",2
"EFNA1",2
"EFNB2",2
"EGFR",2
"EGR2",2
"EGR4",2
"EID3",2
"EIF2S2",2
"EIF3B",2
"EIF3CL",2
"EIF3G",2
"EIF5AL1",2
"ELAVL2",2
"ELK1",2
"ELMO3",2
"ELOVL5",2
"ELP6",2
"ENO3",2
"ENTHD2",2
"EOMES",2
"EP400",2
"EPB41L1",2
"EPC2",2
"EPHA3",2
"EPHB2",2
"EPOR",2
"EPRS",2
"ERAS",2
"ERCC3",2
"ERGIC3",2
"ERP44",2
"ESF1",2
"ESR1",2
"ESRRG",2
"ETNPPL",2
"ETV6",2
"EVA1A",2
"EVA1C",2
"EVC2",2
"EXTL1",2
"FADS3",2
"FADS6",2
"FAM102A",2
"FAM110C",2
"FAM111A",2
"FAM157A",2
"FAM160B2",2
"FAM162A",2
"FAM168A",2
"FAM171B",2
"FAM173B",2
"FAM178B",2
"FAM19A1",2
"FAM204A",2
"FAM219B",2
"FAM21A",2
"FAM221A",2
"FAM25C",2
"FAM3D",2
"FAM45A",2
"FAM46C",2
"FAM47C",2
"FAM50A",2
"FAM71B",2
"FAM71C",2
"FAM71D",2
"FAM72D",2
"FAM78A",2
"FAM84B",2
"FAM92B",2
"FAM9B",2
"FANCC",2
"FAP",2
"FAR2",2
"FARP2",2
"FARSB",2
"FBP2",2
"FBXL17",2
"FBXL5",2
"FBXO42",2
"FBXO8",2
"FBXW9",2
"FCF1",2
"FCHO2",2
"FDXACB1",2
"FER1L5",2
"FEZF2",2
"FGD6",2
"FGF17",2
"FGF22",2
"FGF9",2
"FGFR3",2
"FHAD1",2
"FHOD1",2
"FIP1L1",2
"FKBP10",2
"FLJ44635",2
"FLNA",2
"FLNC",2
"FLOT1",2
"FLT4",2
"FNIP1",2
"FOXB1",2
"FOXB2",2
"FOXD2",2
"FOXD4L4",2
"FOXJ2",2
"FOXL1",2
"FPGS",2
"FPR3",2
"FRA10AC1",2
"FRMD4B",2
"FRMD8",2
"FRMPD3",2
"FRS2",2
"FSCN2",2
"FSCN3",2
"FSIP1",2
"FST",2
"FUCA1",2
"FUT5",2
"FUT6",2
"FZD2",2
"GAB1",2
"GABBR2",2
"GAD1",2
"GAD2",2
"GAGE2B",2
"GAL3ST1",2
"GALR3",2
"GAR1",2
"GBX1",2
"GBX2",2
"GCA",2
"GCHFR",2
"GCM2",2
"GCNT2",2
"GCNT4",2
"GCSH",2
"GDF1",2
"GDPD1",2
"GGCX",2
"GGH",2
"GGTLC1",2
"GJA3",2
"GJB1",2
"GJB5",2
"GJC2",2
"GKN2",2
"GLI3",2
"GLIPR2",2
"GLRB",2
"GLRX2",2
"GLS",2
"GLTPD2",2
"GLTSCR2",2
"GLUD2",2
"GMNN",2
"GNB5",2
"GNG8",2
"GP1BB",2
"GPC6",2
"GPR151",2
